fung,AI,isolate,date_inoculated,trt,rate_ppm,rep,DPI_germinated,DPI_measured,length_mm,width_mm,sclerotia_length,sclerotia_width,area
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,0,1,1,7,4.02,3.94,3.88,3.75,1.012221136
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,0,2,1,7,52.24,37.67,3.24,3.44,1536.816206
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,0,3,1,7,7.8,3.91,2.56,2.72,18.48418838
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,0.01,1,1,7,2.8,2.66,2.43,2.13,1.784503137
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,0.01,2,1,7,3.03,2.69,1.37,1.94,4.314113498
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,0.01,3,1,7,44.14,35.82,2.23,2.12,1238.075883
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,0.1,1,,7,4.4,4.98,4.4,4.98,0
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,0.1,2,2,7,3.91,4.4,3.28,3.09,5.551822443
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,0.1,3,2,7,4.01,3.98,2.19,2.8,7.718735939
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,1,1,,7,3.65,3.91,3.65,3.91,0
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,1,2,,7,3.28,3.75,3.28,3.75,0
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,1,3,,7,2.75,3.03,2.75,3.03,0
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,10,1,2,7,5.04,5.49,5.11,4.3,4.474099101
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,10,2,,7,1.74,1.9,1.74,1.9,0
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,10,3,2,7,3.64,3.14,2.36,2.33,4.658039348
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,100,1,,7,1.5,1.67,1.5,1.67,0
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,100,2,,7,2.74,3.12,2.74,3.12,0
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,100,3,5,7,23.1,22.28,2.31,2.4,399.8650477
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,500,1,,7,1.23,1.66,1.23,1.66,0
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,500,2,,7,3.44,3.13,3.44,3.13,0
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,500,3,,7,2.25,2.14,2.25,2.14,0
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,1000,1,,7,2.1,1.83,2.1,1.83,0
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,1000,2,,7,1.32,1.6,1.32,1.6,0
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,1000,3,,7,1.63,1.97,1.63,1.97,0
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,1500,1,,7,2.48,3.42,2.48,3.42,0
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,1500,2,,7,2.26,2.11,2.26,2.11,0
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,1500,3,,7,2.11,1.79,2.11,1.79,0
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,2000,1,,7,2.67,2.43,2.67,2.43,0
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,2000,2,,7,2.4,2.51,2.4,2.51,0
Aprovia,Benzovindiflupyr,GD-16-1,9/21/2024,1,2000,3,,7,2.27,2.56,2.27,2.56,0
Inspire,Difenoconazole ,GD-16-1,9/21/2024,1,0,1,1,7,11.19,12.36,3.27,3.21,100.3830727
Inspire,Difenoconazole ,GD-16-1,9/21/2024,1,0,2,1,7,4.68,4.67,3.23,3.47,8.362526802
Inspire,Difenoconazole ,GD-16-1,9/21/2024,1,0,3,1,7,52.81,21.28,2.32,3.66,875.9589549
Inspire,Difenoconazole ,GD-16-1,9/21/2024,1,0.01,1,1,7,17.3,30.22,1.69,2.14,407.7703943
Inspire,Difenoconazole ,GD-16-1,9/21/2024,1,0.01,2,1,7,16.1,26.01,1.78,1.48,326.8250618
Inspire,Difenoconazole ,GD-16-1,9/21/2024,1,0.01,3,1,7,3.61,4.65,2.68,2.57,7.774577747
Inspire,Difenoconazole ,GD-16-1,9/21/2024,1,0.1,1,1,7,14.74,12.36,2.37,2.17,139.0496374
Inspire,Difenoconazole ,GD-16-1,9/21/2024,1,0.1,2,1,7,13.3,7.13,2.17,1.49,71.93909333
Inspire,Difenoconazole ,GD-16-1,9/21/2024,1,0.1,3,,7,2.39,2.38,2.39,2.38,0
Inspire,Difenoconazole ,GD-16-1,9/21/2024,1,1,1,3,7,4.84,3.73,3.44,3.31,5.236092386
Inspire,Difenoconazole ,GD-16-1,9/21/2024,1,1,2,2,7,2.66,3.08,2.81,2.86,0.122679191
Inspire,Difenoconazole ,GD-16-1,9/21/2024,1,1,3,1,7,10.32,16.9,1.88,1.9,134.1742784
Inspire,Difenoconazole ,GD-16-1,9/21/2024,1,10,1,2,7,3.94,8.85,3.25,5.06,14.47017552
Inspire,Difenoconazole ,GD-16-1,9/21/2024,1,10,2,5,7,2.4,2.9,2.19,2.54,1.097515375
Inspire,Difenoconazole ,GD-16-1,9/21/2024,1,10,3,,7,3.1,2.4,3.1,2.4,0
Inspire,Difenoconazole ,GD-16-1,9/21/2024,1,100,1,,7,2.98,3.19,2.98,3.19,0
Inspire,Difenoconazole ,GD-16-1,9/21/2024,1,100,2,,7,2.39,2.88,2.39,2.88,0
Inspire,Difenoconazole ,GD-16-1,9/21/2024,1,100,3,,7,3.86,2.59,3.86,2.59,0
Inspire,Difenoconazole ,GD-16-1,9/21/2024,1,500,1,,7,3.55,2.92,3.55,2.92,0
Inspire,Difenoconazole ,GD-16-1,9/21/2024,1,500,2,,7,2.68,3.4,2.68,3.4,0
Inspire,Difenoconazole ,GD-16-1,9/21/2024,1,500,3,,7,2.49,1.85,2.49,1.85,0
